#fingerprint	count
-1308358102	65
-219776945	4
-12512189	22
168336247	1
1333154712	1
-460970400	20
1325561976	1
1209090674	4
-862994854	1
-1720796238	1
-2085931563	6
1654534786	1
1208204842	53
1035785664	2
-735698263	3
-992407749	5
-1769317144	3
-1683616444	2
1598784093	3
-109221785	11
1146514061	11
-1294303318	9
1404475594	1
-1251843308	2
1911431767	1
-271714701	12
769088079	7
1871258559	1
-1702970022	1
-1314050376	2
-1054385670	558
1867120330	1
-1432320225	29
1596457756	4
1021078355	1
730414538	4
1282797096	3
1134325614	1
1041911163	13
1847085369	7
-2115033477	1397
-967339483	4
-87647179	6
1839287875	10
-403142930	71
2042881087	27
888918500	60
700141682	1
185097798	4
-1760973089	1
869177426	1
1939003179	14
1784356451	2
-314258431	3
-2052641241	4
-1510034302	4
-1104616663	7
-1613456159	30
1785415868	4
-226156601	9
-1022022895	1
1924861500	1
-1557688889	2
256608506	1
-1792168410	2
-1610018948	3
-1281905825	2
1722133950	4
730366107	2
-508123287	2
919811645	1
-1892983687	2
905503680	72
-1491286587	3
2028253950	1
1811228840	18
421086751	1
-347407106	11
664673725	1
-738475510	2
1273466230	5
-1308899698	1
60124672	14
1033839023	1
1945352727	7
-2141583080	2
-140931323	17
-341857455	6
1899192431	16
-36704358	1
-1703576492	12
-473809624	1
-1456448206	12
246034775	2
0	0
-1136530381	2
-381205688	8
2098155242	8
-449329450	4
-2011245556	1
1142402257	12
485132857	32
986168197	2
940477934	27
-1108159766	9
1723508892	242
-1746184481	2
1368459500	33
-560004839	3
1087187981	4
2006952634	1
1928001652	16
2036038778	4
619258243	1
-1805941184	1
1685596514	10
1153610893	2
1461484697	4
1877990872	47
2133320421	20
526898850	1
-925800258	5
-1682096297	14
-646324059	4
1209744485	3
-291874850	1
-245632608	2
-797752103	3
-1950398042	32
1648231205	21
469936905	1
-1096036463	64
-1702158257	10
1106453639	2
618498173	2
-849287302	7
227389577	12
150034763	1
362182157	1
914440161	1
-905831904	53
106735433	2
315466628	1
189906964	1
49829817	5
1331752138	2
-871474431	3
822702075	4
1742540300	3
1447761528	2
-591850146	7
2060990835	6
-1706318091	5
965459498	66
11895761	3
60431779	39
1777945692	1
-2128344613	7
1484284398	1
828976422	17
-450976250	2
802298367	14
1721339075	7
823521989	15
468925445	495
1474359553	1
-1655821250	1
453675764	1
-888249828	7
107785618	3
1735598098	1
-1574448824	4
239385600	9
1358250976	11
-417404663	2
528001038	1
-464556589	1
1925377863	1
-71774537	3
-1061521110	1
1128604724	1
1933469299	5
-102960167	6
-1424033973	5
-1431608243	4
-369146187	62
-515357321	1
-1151654883	2
96559093	1
1951634210	33
2080220070	3
-978901372	31
-160330136	1
1342407092	3
1688239656	50
1199440799	1
1283756267	95
-1757763437	128
-1634087030	24
-1988995123	2
36850930	2
-320834362	14
-1718854393	6
513029950	1
-1462437799	6
-1990591114	6
1051764820	5
-370210897	23
232413160	105
-1945982152	4
-400677362	2
-61592965	1
876158888	10
293113032	1
311127791	11
-274214778	13
-76240268	1
-598250226	2
-776337781	7
-615315924	81
1988450527	80
309536417	4
-361903762	10
1383949715	7
169208561	2
452852036	1
1983241857	3
1028139160	1
-152766638	2
113721528	4
2011642253	1
-560365330	8
367454091	1
371040568	1
392690892	11
513414533	10
60198097	1
1646040421	1
-1913821164	2
-1431692827	4
-1352556582	5
1756539753	8
-2011043621	2
-1419311905	3
1481301141	1
-2138684782	15
-1828440424	2
658122771	32
831138528	2
-747081210	1
-1406136977	2
-1472683654	63
-1491967020	3
-1005036911	1
1625165571	23
-548471305	1
646969090	153
-1525810371	4
-471621830	10
173400205	59
-84060211	8
1117448764	31
-920348276	1
780603444	2
1702409067	14
1118456992	2
944786077	6
-1021372441	4
-2111572104	1
-2118132126	32
614542403	4
1231166745	2
-1267655282	6
-1823478977	7
-622255445	4
-2038010199	5
1412624435	14
